"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 07:18:28 UTC 2024","Wed Jul 17 07:18:37 UTC 2024","9657","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"skipped","Wed Jul 17 06:12:08 UTC 2024","Wed Jul 17 06:12:08 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Jul 17 07:11:24 UTC 2024","Wed Jul 17 07:11:38 UTC 2024","14822","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Wed Jul 17 08:50:48 UTC 2024","Wed Jul 17 08:50:48 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"failed","Wed Jul 17 06:20:25 UTC 2024","Wed Jul 17 06:22:19 UTC 2024","113374","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Jul 17 06:24:28 UTC 2024","Wed Jul 17 06:24:30 UTC 2024","1526","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Wed Jul 17 06:12:08 UTC 2024","Wed Jul 17 06:12:08 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"failed","Wed Jul 17 07:03:37 UTC 2024","Wed Jul 17 07:06:17 UTC 2024","159913","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"skipped","Wed Jul 17 06:42:53 UTC 2024","Wed Jul 17 06:42:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"failed","Wed Jul 17 06:46:45 UTC 2024","Wed Jul 17 06:47:04 UTC 2024","18580","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Wed Jul 17 06:42:53 UTC 2024","Wed Jul 17 06:42:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Wed Jul 17 08:50:48 UTC 2024","Wed Jul 17 08:50:48 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed Jul 17 06:20:12 UTC 2024","Wed Jul 17 06:20:24 UTC 2024","12017","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Jul 17 07:03:02 UTC 2024","Wed Jul 17 07:03:06 UTC 2024","3174","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"skipped","Wed Jul 17 06:42:53 UTC 2024","Wed Jul 17 06:42:53 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Wed Jul 17 06:12:08 UTC 2024","Wed Jul 17 06:12:08 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed Jul 17 06:24:22 UTC 2024","Wed Jul 17 06:24:23 UTC 2024","1617","","12. Client Portal - Forms","","","","2. Check Form Page",""
